"name","ACERECODE","super_opeid","campus_id","type","tier_name","iclevel","region","state"
"wabash college",927,1844,760,"Private non-profit","Selective private","Four-year","Midwest","IN"
"wake forest university",2396,2978,762,"Private non-profit","Other elite schools (public and private)","Four-year","South","NC"
"warren wilson college",2327,2979,764,"Private non-profit","Selective private","Four-year","South","NC"
"wartburg college",1609,1896,765,"Private non-profit","Selective private","Four-year","Midwest","IA"
"washington and lee university",2034,3768,768,"Private non-profit","Other elite schools (public and private)","Four-year","South","VA"
"washington college",365,2108,769,"Private non-profit","Selective private","Four-year","South","MD"
"wayland baptist university",2582,3663,772,"Private non-profit","Selective private","Four-year","South","TX"
"waynesburg university",771,3391,775,"Private non-profit","Selective private","Four-year","Northeast","PA"
"webster university",1548,2521,776,"Private non-profit","Selective private","Four-year","Midwest","MO"
"wells college",273,2901,778,"Private non-profit","Selective private","Four-year","Northeast","NY"
"western connecticut state university",80,1380,785,"Public","Selective public","Four-year","Northeast","CT"
"western new england university",203,2226,787,"Private non-profit","Selective private","Four-year","Northeast","MA"
"western state college of colorado",2698,1372,788,"Public","Selective public","Four-year","West","CO"
"westminster college-fulton",1396,2523,789,"Private non-profit","Selective private","Four-year","Midwest","MO"
"westmont college",3048,1341,792,"Private non-profit","Highly selective private","Four-year","West","CA"
"wheaton college-norton",166,2227,793,"Private non-profit","Highly selective private","Four-year","Northeast","MA"
"wheeling jesuit university",2380,3831,795,"Private non-profit","Selective private","Four-year","South","WV"
"wheelock college",28,2228,796,"Private non-profit","Selective private","Four-year","Northeast","MA"
"whitman college",3107,3803,797,"Private non-profit","Other elite schools (public and private)","Four-year","West","WA"
"whitworth university",3079,3804,799,"Private non-profit","Selective private","Four-year","West","WA"
"wilkes university",784,3394,800,"Private non-profit","Selective private","Four-year","Northeast","PA"
"willamette university",2998,3227,801,"Private non-profit","Selective private","Four-year","West","OR"
"william woods university",1395,2525,804,"Private non-profit","Selective private","Four-year","Midwest","MO"
"wingate university",2394,2985,808,"Private non-profit","Selective private","Four-year","South","NC"
"wisconsin lutheran college",1127,21366,810,"Private non-profit","Selective private","Four-year","Midwest","WI"
"wittenberg university",1224,3143,811,"Private non-profit","Selective private","Four-year","Midwest","OH"
"woodbury university",2776,1343,813,"Private non-profit","Selective private","Four-year","West","CA"
"worcester polytechnic institute",243,2233,814,"Private non-profit","Highly selective private","Four-year","Northeast","MA"
"worcester state university",240,2190,815,"Public","Selective public","Four-year","Northeast","MA"
"xavier university-cincinnati",897,3144,816,"Private non-profit","Selective private","Four-year","Midwest","OH"
"xavier university of louisiana",2182,2032,817,"Private non-profit","Selective private","Four-year","South","LA"
